Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
Analysis of the Molecular Mechanism of Evodia rutaecarpa Fruit in the Treatment of Nasopharyngeal Carcinoma Using Network Pharmacology and Molecular Docking,2022,1,1,603,1,8,4115.0,426.0,0.509,0,10
ZNF655 promotes the progression of glioma through transcriptional regulation of AURKA,2022,6,1,613,1,8,246.0,42.0,1.066,0,85
Regulatory Effect of miR497-5p-CCNE1 Axis in Triple-Negative Breast Cancer Cells and Its Predictive Value for Early Diagnosis,2021,3,1,1038,1,4,487.0,118.0,0.675,0,4
Tangeretin Inhibits Hepatocellular Carcinoma Proliferation and Migration by Promoting Autophagy-Related BECLIN1,2019,25,1,1624,1,9,487.0,118.0,0.675,0,33
LINC00261 Inhibits Esophageal Cancer Radioresistance by Down-Regulating microRNA-552-3p and Promoting DIRAS1,2021,2,1,728,1,3,487.0,118.0,0.675,0,4
miR-765 Acts as a Tumor Promoter and Indicates Poor Prognosis in Non-Small Cell Lung Cancer,2021,8,1,916,1,3,487.0,192.0,0.81,0,48
Research on Correlations of miR-196a Expression with Progression and Prognosis of Cutaneous Squamous Cell Carcinoma,2022,1,1,629,1,4,487.0,1.0,0.584,0,109
miR-140-3p Inhibits Cutaneous Melanoma Progression by Disrupting AKT/p70S6K and JNK Pathways through ABHD2,2020,22,1,1060,1,7,190.0,3.0,1.494,0,64
EV71 virus reduces Nrf2 activation to promote production of reactive oxygen species in infected cells,2020,24,1,1314,1,5,451.0,1.0,1.092,0,11
In Vitro Activity of Vernonia cumingiana Benth.,2022,0,1,315,1,2,4115.0,40.0,0.0,1,7
"The Mechanism of Oxidative Stress in Cells Isolation, Indenfication, and Genome-Wide Sequence Analysis of Nitrite Amylolytic Bacillus",2022,1,1,335,1,1,4115.0,6.0,0.844,0,11
Application Research and Case Analysis of Landscape Design in Artificial Intelligence Platform,2022,0,1,435,1,1,4115.0,40.0,0.0,1,2
Oxidative-Damaged Mitochondria Activate GABARAPL1-Induced NLRP3 Inflammasomes in an Autophagic-Exosome Manner after Acute Myocardial Ischemia,2022,7,1,131,1,11,4115.0,52.0,1.477,0,52
The Correlation between the Increased Expression of Aquaporins on the Inner Limiting Membrane and the Occurrence of Diabetic Macular Edema,2022,3,1,286,1,7,4115.0,52.0,1.477,0,11
Involvement of Mitochondrial Dynamics and Mitophagy in Sevoflurane-Induced Cell Toxicity,2021,15,1,710,1,4,4115.0,52.0,1.477,0,43
Distinctive Metabolism-Associated Gene Clusters That Are Also Prognostic in Intrahepatic Cholangiocarcinoma and Hepatocellular Carcinoma,2022,5,1,142,1,5,4115.0,52.0,1.477,0,6
DSC2 Suppresses the Metastasis of Gastric Cancer through Inhibiting the BRD4/Snail Signaling Pathway and the Transcriptional Activity of Î²-Catenin,2022,2,1,244,1,8,4115.0,52.0,1.477,0,97
Fibroblasts in Scar Formation: Biology and Clinical Translation,2022,8,1,65,1,7,4115.0,52.0,1.477,0,39
"MiR-625 Inhibits Tumor Cell Invasion, Migration and EMT by Negatively Regulating the Expression of Resistin in Non-Small Cell Lung",2020,8,1,1356,1,4,487.0,118.0,0.675,0,10
Prognosis and Biological Function of miR-3195 in Non-Small Cell Lung Cancer,2022,2,1,344,1,4,487.0,118.0,0.675,0,4
LINC-PINT Inhibited Malignant Progression of Bladder Cancer by Targeting miR-155-5p,2021,8,1,1008,1,5,487.0,118.0,0.675,0,47
Carveol Promotes Nrf2 Contribution in Depressive Disorders through an Anti-inflammatory Mechanism,2022,7,1,220,1,9,4115.0,52.0,1.477,0,30
Upregulation of C terminus of Hsc70-interacting protein attenuates apoptosis and procoagulant activity and facilitates brain repair after traumatic brain injury,2020,4,1,916,1,8,246.0,6.0,1.063,0,44
Clinical Efficacy of PEG-IFNÎ±-2a and PEG-IFNÎ±-2b in the Treatment of Hepatitis B e Antigen-Positive Hepatitis B and Their Value in Improving Inflammatory Factors and Hemodynamics in Patients: A Comparative Study,2022,2,1,94,1,7,4115.0,52.0,1.477,0,47
"Network Pharmacology, Molecular Docking, and Experimental Validation to Unveil the Molecular Targets and Mechanisms of Compound Fuling Granule to Treat Ovarian Cancer",2022,2,1,169,1,8,4115.0,52.0,1.477,0,23
A Comprehensive Pan-Cancer Analysis of the Tumorigenic Effect of Leucine-Zipper-Like Transcription Regulator (LZTR1) in Human Cancer,2022,1,1,114,1,4,4115.0,52.0,1.477,0,16
Identification of Oxidative Stress-Associated Molecular Subtypes and Signature for Predicting Survival Outcome of Cervical Squamous Cell Carcinoma,2022,3,1,335,1,4,4115.0,52.0,1.477,0,89
CDC20 May Serve as a Potential Biomarker-Based Risk Score System in Predicting the Prognosis of Patients with Hepatocellular Carcinoma,2022,1,1,142,1,8,4115.0,52.0,1.477,0,26
PRDM16 upregulation induced by MicroRNA-448 inhibition alleviates atherosclerosis via the TGF-Î² signaling pathway inactivation,2020,7,1,1086,1,6,246.0,21.0,1.006,0,40
Attenuating effect of Ginsenoside Rb1 on LPS-induced lung injury in rats,2014,40,1,3488,1,5,451.0,2.0,0.932,0,12
Expression of CX3CL1 and CCL28 in Spinal Metastases of Lung Adenocarcinoma and Their Correlation with Clinical Features and Prognosis,2022,3,1,595,1,4,4115.0,426.0,0.509,0,9
LncRNA NDRG1 aggravates osteosarcoma progression and regulates the PI3K/AKT pathway by sponging miR-96-5p,2022,8,1,589,1,14,451.0,21.0,1.087,0,79
Curcumin Inhibits the Proliferation of Renal Cancer 786-O Cells through MTOR Signaling Pathway and Its Mechanism,2022,6,1,617,1,4,4115.0,426.0,0.509,0,7
Long noncoding RNA HOXD-AS1 promotes non-small cell lung cancer migration and invasion through regulating miR-133b/MMP9 axis,2018,53,1,1719,1,4,4020.0,109.0,0.0,0,59
SOX2 Enhances the Migration and Invasion of Ovarian Cancer Cells via Src Kinase,2014,44,1,3451,1,8,726.0,685.0,0.839,0,12
The BET inhibitor I-BET762 inhibits pancreatic ductal adenocarcinoma cell proliferation and enhances the therapeutic effect of gemcitabine,2018,28,1,2010,1,8,1008.0,188.0,0.9,0,59
The Role of HBx Gene Mutations in PLA2R Positive Hepatitis-B-associated Membranous Nephropathy,2020,4,1,1278,1,9,1.0,1.0,0.403,0,59
Downregulation of long nonâcoding RNA GACAT1 suppresses proliferation and induces apoptosis of NSCLC cells by sponging microRNAâ422a,2020,8,1,901,1,5,445.0,41.0,1.167,0,42
microRNAâ196b promotes cell migration and invasion by targeting FOXP2 in hepatocellular carcinoma,2017,28,1,2251,1,4,445.0,108.0,0.864,0,9
Effect of CCL2 siRNA on proliferation and apoptosis in the U251 human glioma cell line,2017,19,1,2157,1,5,445.0,135.0,0.781,0,19
Inhibition of Notch1 reverses EMT and chemoresistance to cisplatin via direct down-regulation of MCAM in triple-negative breast cancer cells,2020,44,1,1297,1,9,2080.0,37.0,2.131,0,36
The Combination of Three Natural Compounds Effectively Prevented Lung Carcinogenesis by Optimal Wound Healing,2015,29,1,2920,1,10,726.0,685.0,0.839,0,39
MicroRNA-29a inhibits proliferation and induces apoptosis in rheumatoid arthritis fibroblast-like synoviocytes by repressing STAT3,2017,49,1,2162,1,4,4020.0,109.0,0.0,0,25
In vivo effects of dexmedetomidine on immune function and tumor growth in rats with ovarian cancer through inhibiting the p38MAPK/NF-ÎºB signaling pathway,2017,25,1,2101,1,9,4020.0,109.0,0.0,0,84
MIR600HG sponges miR-125a-5p to regulate glycometabolism and cisplatin resistance of oral squamous cell carcinoma cells via mediating RNF44,2022,3,1,581,1,4,1008.0,3.0,1.668,0,11
Agonism of GPR120 prevents ox-LDL-induced attachment of monocytes to endothelial cells,2020,13,1,1365,1,6,4020.0,11.0,0.946,0,27
The Inflammasome NLRC4 Protects against Cryptococcus gattii by Inducing the Classic Caspase-1 to Activate the Pyroptosis Signal,2022,2,1,469,1,5,4115.0,426.0,0.509,0,128
Inhibition of PI3K/AKt/mTOR signaling pathway protects against d-galactosamine/lipopolysaccharide-induced acute liver failure by chaperone-mediated autophagy in rats,2017,41,1,2348,1,5,4020.0,109.0,0.0,0,11
ADAM8 Activates NLRP3 Inflammasome to Promote Cerebral Ischemia-Reperfusion Injury,2021,9,1,620,1,4,4115.0,426.0,0.509,0,108
Inhibition of microRNA-665 Alleviates Septic Acute Kidney Injury by Targeting Bcl-2,2022,3,1,482,1,6,4115.0,426.0,0.509,0,34
SNHG1/miR-145-5p/KLF5 Axis Participates in Regulating the Proliferation and Migration of Oral Squamous Cell Cancer,2022,1,1,482,1,3,4115.0,426.0,0.509,0,3
Role of CC-chemokine receptor 5 on myocardial ischemia-reperfusion injury in rats,2013,15,1,3919,1,5,3505.0,31.0,0.901,0,98
Continuous Blood Purification Ameliorates Multiple Organ Failure Through Inhibiting the Activation of the P38 MAPK Signaling Pathway in a Rat Model,2018,6,1,1967,1,7,75.0,5.0,0.674,0,61
The Anticancer Effect of Huaier Extract in Renal Cancer 786-O Cells,2018,15,1,1932,1,6,75.0,3.0,0.679,0,10
Sulforaphane attenuates muscle inflammation in dystrophin-deficient mdx mice via NF-E2-related factor 2 (Nrf2)-mediated inhibition of NF-ÎºB signaling pathway,2021,131,1,883,1,8,4020.0,7.0,1.766,0,39
Alternol inhibits proliferation and induces apoptosis in mouse lymphocyte leukemia (L1210) cells,2007,24,1,5936,1,7,3505.0,31.0,0.901,0,35
MACCâ1 antibody target therapy suppresses growth and migration of nonâsmall cell lung cancer,2017,4,1,2253,1,5,445.0,135.0,0.781,0,10
Long non-coding RNA LINC00467 regulates hepatocellular carcinoma progression by modulating miR-9-5p/PPARA expression,2019,0,1,1432,1,7,38.0,13.0,2.164,0,37
Long non-coding RNA LINC00346 contributes to cisplatin resistance in nasopharyngeal carcinoma by repressing miR-342-5p,2020,21,1,1032,1,5,38.0,13.0,2.164,0,27
RNA editing of microRNA prevents RNA-induced silencing complex recognition of target mRNA,2015,41,1,2980,1,3,38.0,13.0,2.164,0,5
TNF-Î±-induced NF-ÎºB activation upregulates microRNA-150-3p and inhibits osteogenesis of mesenchymal stem cells by targeting Î²-catenin,2016,88,1,2624,1,7,38.0,13.0,2.164,0,82
MALAT1 promotes gastric adenocarcinoma through the MALAT1/miR-181a-5p/AKT3 axis,2019,0,1,1432,1,8,38.0,13.0,2.164,0,8
NOX4-dependent fatty acid oxidation promotes NLRP3 inflammasome activation in macrophages,2016,241,1,2678,1,11,1008.0,15.0,19.045,0,28
Transplantation of HGF gene-engineered skeletal myoblasts improve infarction recovery in a rat myocardial ischemia model,2017,16,1,2409,1,9,726.0,685.0,0.839,0,12
Expression of Cysteine-Rich Secreted Acidic Protein in Multiple Myeloma and Its Effect on the Biological Behavior of Cancer Cells,2021,2,1,772,1,4,4115.0,414.0,0.0,0,4
Growth Differentiation Factor 7 Prevents Sepsis-Induced Acute Lung Injury in Mice,2022,3,1,411,1,6,4115.0,414.0,0.0,0,76
Prognostic Significance of ANGPTL4 in Lung Adenocarcinoma: A Meta-Analysis Based on Integrated TCGA and GEO Databases,2022,1,1,515,1,12,4115.0,414.0,0.0,0,74
NEK2 Serves as a Novel Biomarker and Enhances the Tumorigenicity of Clear-CellRenal-Cell Carcinoma by Activating WNT/Î²-Catenin Pathway,2022,0,1,496,1,4,4115.0,414.0,0.0,0,5
LINC00035 Transcriptional Regulation of SLC16A3 via CEBPB Affects Glycolysis and Cell Apoptosis in Ovarian Cancer,2021,5,1,588,1,5,4115.0,414.0,0.0,0,91
Effects of Circ_0109046 Regulating Mir-338-3p on the Malignant Behavior of A2780 Cells,2022,0,1,274,1,9,4115.0,414.0,0.0,0,61
"LncRNA-PAX8-AS1 Silencing Decreases Cell Viability, Enhances Apoptosis, and Suppresses Doxorubicin Resistance in Myeloid Leukemia via the miR-378g/ERBB2 Axis",2022,2,1,376,1,7,4115.0,414.0,0.0,0,16
Study on the Killing Effect of Î³Î´T Cells Activated by Rukangyin on Breast Cancer MDA-MB-231 Cells,2021,3,1,783,1,4,4115.0,99.0,0.0,1,6
"6,12-Diphenyl-3, 9-diazatetraasterane-1, 5, 7, 11-tetracarboxylate Inhibits Proliferation, Migration and Promotes Apoptosis in Ovarian Cancer Cells",2020,5,1,1368,1,8,4115.0,99.0,0.0,1,127
Therapy Strategy of CD47 in Diffuse Large B-Cell Lymphoma (DLBCL),2021,5,1,811,1,6,4115.0,99.0,0.0,1,23
A Comprehensive Bioinformatic Analysis of NOTCH Pathway Involvement in Stomach Adenocarcinoma,2021,9,1,847,1,4,4115.0,99.0,0.0,1,22
The Mechanism of Xiaoyao San in the Treatment of Ovarian Cancer by Network Pharmacology and the Effect of Stigmasterol on the PI3K/Akt Pathway,2021,11,1,890,1,7,4115.0,99.0,0.0,1,134
Bioinformatic Analysis and Cellular Assays Identify Substance P Influencing Th17/Treg Differentiation via the MyD88 Pathway as a Potential Contributor to the Progression of Asthma and Allergic Rhinitis,2022,8,1,370,1,7,4115.0,99.0,0.0,1,83
KIF20A Predicts Poor Survival of Patients and Promotes Colorectal Cancer Tumor Progression through the JAK/STAT3 Signaling Pathway,2022,18,1,456,1,9,4115.0,99.0,0.0,1,33
Active Ingredient Paeonol of Jijiu Huiyang Decoction Alleviates Isoproterenol-Induced Chronic Heart Failure via the GSK3A/PPARÎ± Pathway,2023,0,1,165,1,8,4115.0,52.0,1.477,0,120
Identification of Ferroptosis-Related Long Noncoding RNA and Construction of a Novel Prognostic Signature for Gastric Cancer,2021,13,1,804,1,11,4115.0,99.0,0.0,1,45
Scanning Probe Microscopy Bone Marrow Determination of Steogenic Differentiation of Mesenchymal Stem Cells,2022,1,1,487,1,8,4115.0,78.0,0.0,0,55
Common Pathogens and Drug Resistance of Neonatal Pneumonia with New Multichannel Sensor,2022,2,1,486,1,3,4115.0,78.0,0.0,0,3
Effects from Oral Administration of Recombinant Interferon-Alpha on Piglet Daily Care,2022,0,1,314,1,7,4115.0,146.0,0.0,1,12
Efficacy of Human-Recombinant Epidermal Growth Factor Combined with Povidone-Iodine for Pressure Ulcers and Its Influence on Inflammatory Cytokines,2022,2,1,385,1,6,4115.0,9.0,1.043,0,7
Sulforaphane triggers iron overload-mediated ferroptosis in gastric carcinoma cells by activating the PI3K/IRP2/DMT1 pathway,2023,2,1,24,1,5,880.0,19.0,0.621,0,46
Research on Structural Optimization of Prefabricated Components Based on Improved Immune Genetic Algorithm,2022,0,1,457,1,1,4115.0,525.0,0.0,0,4
Prediction Model of Rice Seedling Growth and Rhizosphere Fertility Based on the Improved Elman Neural Network,2022,0,1,494,1,6,4115.0,525.0,0.0,0,26
Expression of DNMT1 and DNMT3a Are Regulated by GLI1 in Human Pancreatic Cancer,2011,81,1,4319,1,11,726.0,685.0,0.839,0,67
SOCS3 inhibits insulin signaling in porcine primary adipocytes,2010,18,1,4934,1,4,3505.0,31.0,0.901,0,4
Structural determinants of schisandrin B which enhance mitochondrial functional ability and glutathione status as well as heat shock protein expression in rat hearts and H9c2 cells,2005,13,1,6885,1,2,3505.0,31.0,0.901,0,2
Kweichow Moutai ameliorates alcohol-induced liver fibrosis in mice by targeting the NFÎºB pathway,2020,1,1,1233,1,7,2080.0,8.0,0.0,0,129
Cationic solid lipid nanoparticles loaded by integrin Î²1 plasmid DNA attenuates IL-1Î²-induced apoptosis of chondrocyte,2020,8,1,1083,1,6,48.0,11.0,1.18,1,27
Identification of hub genes and construction of prognostic nomogram for patients with Wilms tumors,2022,0,1,370,1,10,246.0,42.0,1.066,0,16
Bone-targeted delivery of simvastatin-loaded PEG-PLGA micelles conjugated with tetracycline for osteoporosis treatment,2018,30,1,1910,1,7,3505.0,3.0,0.994,0,21
Exosome-transmitted miR-567 reverses trastuzumab resistance by inhibiting ATG5 in breast cancer,2020,110,1,1358,1,16,1008.0,42.0,0.0,0,92
Long Non-Coding RNA ZNF667-AS1 Knockdown Curbs Liver Metastasis in Acute Myeloid Leukemia by Regulating the microRNA-206/AKAP13 Axis,2020,9,1,930,1,6,487.0,118.0,0.675,0,28
Analysis of Uyghur and Kazakh populations using the Precision ID Ancestry Panel,2019,13,1,1398,1,4,4020.0,1.0,1.336,0,4
Effect of Basicity on the Microstructure of Sinter and Its Application Based on Deep Learning,2021,0,1,596,1,5,4115.0,525.0,0.0,0,33
Ultrasonic Omics Based on Intelligent Classification Algorithm in Hormone Receptor Expression and Efficacy Evaluation of Breast Cancer,2022,1,1,644,1,2,4115.0,448.0,0.0,1,3
Inhibition of SphK1/S1P Signaling Pathway Alleviates Fibrosis and Inflammation of Rat Myocardium after Myocardial Infarction,2022,7,1,512,1,5,4115.0,448.0,0.0,1,16
Protective effect of senegenin on splenectomyâinduced postoperative cognitive dysfunction in elderly rats,2014,27,1,3559,1,3,445.0,54.0,0.0,0,12
MicroRNA-21 Contributes to Cutaneous Squamous Cell Carcinoma Progression via Mediating TIMP3/PI3K/AKT Signaling Axis,2021,8,1,709,1,2,487.0,8.0,0.0,1,2
Hub Gene Screening and Prognostic Modeling of Lung Cancer: An Integrated Bioinformatics Study,2022,0,1,579,1,2,4115.0,448.0,0.0,1,2
Long Noncoding RNA Zinc Finger Antisense 1 Affects Glucocorticoid-Induced Osteonecrosis of the Femoral Head by Performing as a ceRNA for MicroRNA-124-3p and Accelerating Transforming Growth Factor Type III Receptor,2022,0,1,507,1,6,4115.0,448.0,0.0,1,8
Identification of Serum Metabolomics Characteristics in Patients with Stable Angina Pectoris Using UHPLC-QE-MS,2022,1,1,570,1,11,4115.0,448.0,0.0,1,24
Study on PD-L1 Expression in NSCLC Patients and Related Influencing Factors in the Real World,2021,2,1,709,1,7,4115.0,448.0,0.0,1,13
"MCM6 Promotes Hepatocellular Carcinoma Progression via the Notch Pathway: Clinical, Functional, and Genomic Insights",2022,2,1,457,1,7,4115.0,448.0,0.0,1,28
Effects of Cisplatin Combined with Metformin on Proliferation and Apoptosis of Nasopharyngeal Carcinoma Cells,2022,3,1,582,1,4,4115.0,448.0,0.0,1,41
Triad1 Promotes the Inflammatory Response and Neuronal Apoptosis to Aggravate Acute Spinal Cord Injury in Rats,2022,2,1,505,1,7,4115.0,448.0,0.0,1,41
Identification and Validation of Invasion-Related Molecular Subtypes and Prognostic Features for Cervical Cancer,2022,0,1,629,1,3,4115.0,448.0,0.0,1,87
